PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,PARAM:numAttrs,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.6493,0.0132,0.7276,0.7948,0.7028,0.7460,0.3429,0.2850,0.3010,17.305,4.65
0.05,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.6472,0.0133,0.7243,0.7946,0.6987,0.7436,0.3518,0.2833,0.3000,16.61,7.853
0.1,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.6391,0.0137,0.7178,0.7895,0.6897,0.7362,0.3141,0.2570,0.2727,16.101,12.01
0.2,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.6258,0.0144,0.7023,0.7757,0.6757,0.7222,0.3129,0.2347,0.2522,15.411,27.582
0.3,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.6217,0.0145,0.6960,0.7747,0.6691,0.7181,0.3008,0.2177,0.2296,15.411,57.9
0.4,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.5992,0.0152,0.6813,0.7622,0.6527,0.7032,0.2957,0.2168,0.2305,15.271,113.992
0.5,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.5992,0.0154,0.6781,0.7596,0.6511,0.7011,0.2849,0.2125,0.2268,16.001,185.01
