PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.2229,0.0340,0.2882,0.3569,0.2865,0.3179,0.0579,0.0409,0.0375,3.946,4.26
0.05,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.2076,0.0346,0.2739,0.3436,0.2759,0.3060,0.0786,0.0381,0.0341,4.071,11.71
0.1,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.1973,0.0354,0.2606,0.3272,0.2627,0.2914,0.0540,0.0341,0.0280,4.061,45.115
0.2,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.1748,0.0369,0.2324,0.2935,0.2356,0.2614,0.0632,0.0268,0.0175,4.272,727.775
0.3,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.1616,0.0377,0.2166,0.2751,0.2209,0.2450,0.0194,0.0229,0.0108,3.913,11309.176
