PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,0.3037,0.0299,0.3739,0.4490,0.3612,0.4004,0.1211,0.0590,0.0493,4.77,47.144
0.05,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,0.2802,0.0310,0.3504,0.4255,0.3424,0.3794,0.0975,0.0539,0.0451,4.656,67.349
0.1,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,0.2781,0.0315,0.3439,0.4143,0.3333,0.3694,0.0711,0.0509,0.0415,4.685,127.669
0.2,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,0.2393,0.0332,0.3050,0.3755,0.3021,0.3348,0.0849,0.0435,0.0376,4.996,1141.453
