RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPercentage,Best Example-Based Accuracy,500,35,2,0.3,,,0.2107,0.2111,0.5155,0.6655,0.6049,0.6337,0.4047,0.3497,0.3261,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,30,2,0.4,0.0,,0.1047,0.2341,0.4697,0.6150,0.6014,0.6081,0.3788,0.3354,0.2921,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,20,2,0.4,0.25,,0.1373,0.2275,0.4809,0.6301,0.5971,0.6132,0.4035,0.3304,0.2880,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,20,2,0.4,0.5,,0.1613,0.2222,0.4950,0.6397,0.6052,0.6219,0.3409,0.3392,0.3000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,30,2,0.4,0.75,,0.1933,0.2191,0.5080,0.6449,0.6108,0.6274,0.4063,0.3486,0.3116,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,40,2,0.4,1.0,,0.1953,0.2253,0.5015,0.6339,0.6008,0.6169,0.3973,0.3463,0.3081,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,45,2,0.4,0.0,,0.0127,0.2311,0.3346,0.7481,0.3540,0.4806,0.1783,0.1430,0.1225,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,15,2,0.4,0.25,,0.0147,0.2300,0.3387,0.7499,0.3579,0.4846,0.2497,0.1464,0.1291,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,15,2,0.4,0.5,,0.0533,0.2226,0.3652,0.7584,0.3857,0.5113,0.3546,0.1703,0.1708,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,20,2,0.4,0.75,,0.1720,0.2109,0.4767,0.6917,0.5445,0.6093,0.4246,0.2975,0.2890,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,40,2,0.4,1.0,,0.1967,0.2251,0.5014,0.6347,0.5998,0.6168,0.3975,0.3455,0.3077,

