RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPercentage,Best Example-Based Accuracy,500,45,2,0.05,,,0.4503,0.0538,0.4643,0.9286,0.0381,0.0732,0.0947,0.0134,0.0235,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,25,2,0.4,0.0,,0.0311,0.0943,0.1402,0.2479,0.3402,0.2868,0.2469,0.1462,0.1069,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,35,2,0.4,0.5,,0.0373,0.0910,0.1449,0.2600,0.3431,0.2958,0.1805,0.1488,0.1153,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,35,2,0.4,0.75,,0.0559,0.0866,0.1539,0.2755,0.3402,0.3045,0.1983,0.1486,0.1196,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,25,2,0.4,1.0,,0.4068,0.0588,0.4927,0.4581,0.3050,0.3662,0.2751,0.1440,0.1530,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,5,2,0.4,0.0,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,5,2,0.4,0.25,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,5,2,0.4,0.5,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,5,2,0.4,0.75,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Micro-averaged Precision,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Micro-averaged Precision,500,10,2,,,,0.4441,0.0556,0.4451,1.0000,0.0029,0.0058,0.0526,0.0015,0.0029,
RDTLabelPowerset,Best Micro-averaged Precision,500,10,2,,,,0.4441,0.0548,0.4513,0.8750,0.0205,0.0401,0.2982,0.0228,0.0414,
RDTChainLabel,Best Micro-averaged Precision,500,30,2,0.5,,,0.4286,0.0579,0.5066,0.4663,0.2639,0.3371,0.2571,0.1155,0.1210,
RDTChainPercentage,Best Micro-averaged Precision,500,15,2,0.1,,,0.4441,0.0552,0.4480,1.0000,0.0088,0.0174,0.1053,0.0038,0.0073,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,35,2,0.4,0.0,,0.0342,0.0935,0.1395,0.2505,0.3402,0.2886,0.2622,0.1439,0.1000,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
