PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.0123,0.0625,0.3546,0.5096,0.5010,0.5053,0.1366,0.0919,0.0824,11.964,7.94
0.05,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.0123,0.0620,0.3566,0.5143,0.4972,0.5056,0.1219,0.0909,0.0810,11.071,21.56
0.1,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.0200,0.0616,0.3593,0.5176,0.4946,0.5058,0.1209,0.0905,0.0808,11.413,65.154
0.2,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.0311,0.0605,0.3655,0.5273,0.4882,0.5070,0.1257,0.0891,0.0801,10.51,523.864
0.3,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,0.0394,0.0603,0.3644,0.5298,0.4763,0.5016,0.1205,0.0866,0.0766,11.132,5429.297
