RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,500,25,2,0.4,0.25,,0.2031,0.2622,0.2236,0.2444,0.2302,0.2371,0.3434,0.2063,0.1894,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,500,25,2,0.4,0.5,,0.2279,0.2531,0.2497,0.2717,0.2558,0.2635,0.3339,0.2353,0.2215,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,25,2,0.4,0.75,,0.2221,0.2553,0.2435,0.2651,0.2496,0.2571,0.2978,0.2373,0.2317,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,30,2,0.4,1.0,,0.2304,0.2545,0.2484,0.2679,0.2527,0.2601,0.2693,0.2465,0.2441,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,15,2,0.4,0.75,,0.0116,0.1903,0.0132,0.1353,0.0140,0.0254,0.3122,0.0149,0.0275,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,30,2,0.4,1.0,,0.2304,0.2530,0.2484,0.2704,0.2527,0.2613,0.2708,0.2465,0.2449,

