PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0000,0.0276,0.0010,1.0000,0.0016,0.0033,0.0222,0.0002,0.0003,5.179,4.258
0.05,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0000,0.0277,0.0005,1.0000,0.0008,0.0016,0.0222,0.0001,0.0002,4.264,11.904
0.1,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0000,0.0277,0.0005,1.0000,0.0008,0.0016,0.0222,0.0001,0.0002,3.855,43.382
0.2,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0000,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.745,704.17
0.3,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0000,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.245,10573.255
