,,trees,deep,maxS,percLabels
RDTLabel,Best Subset Accuracy,500,15,2,,,,
RDTPercentage,Best Subset Accuracy,500,10,2,,,,
RDTLabelPowerset,Best Subset Accuracy,500,5,2,,,,
RDTChainLabel,Best Subset Accuracy,500,40,2,0.4,,,
RDTChainPercentage,Best Subset Accuracy,500,45,2,0.4,,,

