RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,20,2,0.4,0.75,,0.1938,0.2403,0.6263,0.7523,0.7574,0.7548,0.6549,0.6078,0.6005,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,20,2,0.4,1.0,,0.1860,0.2492,0.6119,0.7466,0.7415,0.7440,0.6347,0.6014,0.6003,

RDTLabel,Best Micro-averaged F-Measure,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Micro-averaged F-Measure,500,5,2,,,,0.1628,0.2403,0.6119,0.7642,0.7347,0.7491,0.6390,0.5801,0.5786,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,35,2,,,,0.1938,0.2835,0.5704,0.7146,0.6984,0.7064,0.6159,0.6013,0.6059,
RDTChainLabel,Best Micro-averaged F-Measure,500,10,2,0.35,,,0.2093,0.2370,0.6355,0.7574,0.7574,0.7574,0.6999,0.6156,0.6152,
RDTChainPercentage,Best Micro-averaged F-Measure,500,10,2,0.25,,,0.2248,0.2359,0.6334,0.7615,0.7528,0.7571,0.6636,0.6116,0.6143,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,5,2,0.4,0.0,,0.0930,0.2702,0.5836,0.7275,0.7143,0.7208,0.5038,0.5472,0.5175,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,25,2,0.4,0.25,,0.1395,0.2580,0.6033,0.7374,0.7324,0.7349,0.5159,0.5650,0.5358,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,50,2,0.4,0.5,,0.1938,0.2414,0.6278,0.7551,0.7483,0.7517,0.6781,0.5855,0.5675,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,50,2,0.4,0.75,,0.2171,0.2326,0.6409,0.7643,0.7574,0.7608,0.6545,0.6046,0.5986,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,40,2,0.4,1.0,,0.2248,0.2381,0.6311,0.7568,0.7551,0.7560,0.7017,0.6194,0.6210,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,20,2,0.4,0.0,,0.0775,0.2525,0.6039,0.7290,0.7687,0.7483,0.5108,0.6014,0.5486,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,35,2,0.4,0.25,,0.1705,0.2425,0.6290,0.7392,0.7778,0.7580,0.6609,0.6124,0.5666,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,25,2,0.4,0.5,,0.1628,0.2425,0.6214,0.7511,0.7528,0.7520,0.6047,0.5879,0.5618,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,40,2,0.4,0.75,,0.1938,0.2381,0.6304,0.7568,0.7551,0.7560,0.6533,0.6013,0.5941,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,40,2,0.4,1.0,,0.2248,0.2470,0.6177,0.7500,0.7415,0.7457,0.6456,0.6050,0.6068,

RDTLabel,Best Macro-averaged Precision,500,15,2,,,,0.1783,0.2547,0.6030,0.7392,0.7392,0.7392,0.6445,0.6081,0.6060,
RDTPercentage,Best Macro-averaged Precision,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Macro-averaged Precision,500,35,2,,,,0.1938,0.2835,0.5704,0.7146,0.6984,0.7064,0.6159,0.6013,0.6059,
RDTChainLabel,Best Macro-averaged Precision,500,10,2,0.5,,,0.2481,0.2470,0.6232,0.7512,0.7392,0.7451,0.7753,0.5992,0.6047,
RDTChainPercentage,Best Macro-averaged Precision,500,5,2,0.4,,,0.2016,0.2436,0.6198,0.7625,0.7279,0.7448,0.7567,0.5688,0.5666,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,35,2,0.4,0.0,,0.1085,0.2713,0.5807,0.7258,0.7143,0.7200,0.6486,0.5505,0.5243,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,10,2,0.4,0.25,,0.1473,0.2625,0.5959,0.7350,0.7234,0.7291,0.6549,0.5590,0.5373,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,50,2,0.4,0.5,,0.1938,0.2414,0.6278,0.7551,0.7483,0.7517,0.6781,0.5855,0.5675,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,5,2,0.4,0.75,,0.1938,0.2558,0.6087,0.7476,0.7188,0.7329,0.6792,0.5515,0.5354,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,25,2,0.4,1.0,,0.2016,0.2425,0.6240,0.7523,0.7506,0.7514,0.7616,0.6104,0.6101,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,20,2,0.4,0.0,,0.0775,0.2525,0.6039,0.7290,0.7687,0.7483,0.5108,0.6014,0.5486,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,35,2,0.4,0.25,,0.1705,0.2425,0.6290,0.7392,0.7778,0.7580,0.6609,0.6124,0.5666,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,10,2,0.4,0.5,,0.1705,0.2447,0.6201,0.7477,0.7528,0.7503,0.6271,0.5904,0.5674,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,30,2,0.4,0.75,,0.1783,0.2447,0.6201,0.7477,0.7528,0.7503,0.6603,0.6021,0.5940,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,5,2,0.4,1.0,,0.2016,0.2436,0.6198,0.7625,0.7279,0.7448,0.7567,0.5688,0.5666,

RDTLabel,Best Macro-averaged Recall,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Macro-averaged Recall,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Macro-averaged Recall,500,35,2,,,,0.1938,0.2835,0.5704,0.7146,0.6984,0.7064,0.6159,0.6013,0.6059,
RDTChainLabel,Best Macro-averaged Recall,500,15,2,0.15,,,0.2093,0.2392,0.6308,0.7528,0.7596,0.7562,0.6978,0.6264,0.6251,
RDTChainPercentage,Best Macro-averaged Recall,500,10,2,0.5,,,0.2636,0.2425,0.6298,0.7523,0.7506,0.7514,0.6919,0.6198,0.6275,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,15,2,0.4,0.0,,0.0775,0.2746,0.5757,0.7198,0.7166,0.7182,0.4984,0.5509,0.5150,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,25,2,0.4,0.25,,0.1395,0.2580,0.6033,0.7374,0.7324,0.7349,0.5159,0.5650,0.5358,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,50,2,0.4,0.5,,0.1938,0.2414,0.6278,0.7551,0.7483,0.7517,0.6781,0.5855,0.5675,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,50,2,0.4,0.75,,0.2171,0.2326,0.6409,0.7643,0.7574,0.7608,0.6545,0.6046,0.5986,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,40,2,0.4,1.0,,0.2248,0.2381,0.6311,0.7568,0.7551,0.7560,0.7017,0.6194,0.6210,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,25,2,0.4,0.0,,0.0698,0.2558,0.6008,0.7225,0.7732,0.7470,0.5055,0.6059,0.5481,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,35,2,0.4,0.25,,0.1705,0.2425,0.6290,0.7392,0.7778,0.7580,0.6609,0.6124,0.5666,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,35,2,0.4,0.5,,0.1705,0.2470,0.6192,0.7422,0.7574,0.7497,0.6190,0.5948,0.5664,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,20,2,0.4,0.75,,0.1938,0.2403,0.6263,0.7523,0.7574,0.7548,0.6549,0.6078,0.6005,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,40,2,0.4,1.0,,0.2248,0.2470,0.6177,0.7500,0.7415,0.7457,0.6456,0.6050,0.6068,

RDTLabel,Best Macro-averaged F-Measure,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Macro-averaged F-Measure,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Macro-averaged F-Measure,500,35,2,,,,0.1938,0.2835,0.5704,0.7146,0.6984,0.7064,0.6159,0.6013,0.6059,
RDTChainLabel,Best Macro-averaged F-Measure,500,15,2,0.15,,,0.2093,0.2392,0.6308,0.7528,0.7596,0.7562,0.6978,0.6264,0.6251,
RDTChainPercentage,Best Macro-averaged F-Measure,500,10,2,0.5,,,0.2636,0.2425,0.6298,0.7523,0.7506,0.7514,0.6919,0.6198,0.6275,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,500,35,2,0.4,0.0,,0.1085,0.2713,0.5807,0.7258,0.7143,0.7200,0.6486,0.5505,0.5243,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,500,50,2,0.4,0.25,,0.1318,0.2602,0.5977,0.7362,0.7279,0.7320,0.6547,0.5640,0.5399,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,500,50,2,0.4,0.5,,0.1938,0.2414,0.6278,0.7551,0.7483,0.7517,0.6781,0.5855,0.5675,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,500,50,2,0.4,0.75,,0.2171,0.2326,0.6409,0.7643,0.7574,0.7608,0.6545,0.6046,0.5986,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,40,2,0.4,1.0,,0.2248,0.2381,0.6311,0.7568,0.7551,0.7560,0.7017,0.6194,0.6210,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,500,20,2,0.4,0.0,,0.0775,0.2525,0.6039,0.7290,0.7687,0.7483,0.5108,0.6014,0.5486,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,500,35,2,0.4,0.25,,0.1705,0.2425,0.6290,0.7392,0.7778,0.7580,0.6609,0.6124,0.5666,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,500,10,2,0.4,0.5,,0.1705,0.2447,0.6201,0.7477,0.7528,0.7503,0.6271,0.5904,0.5674,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,500,20,2,0.4,0.75,,0.1938,0.2403,0.6263,0.7523,0.7574,0.7548,0.6549,0.6078,0.6005,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,10,2,0.4,1.0,,0.2248,0.2481,0.6192,0.7506,0.7370,0.7437,0.6745,0.6000,0.6078,

