RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPercentage,Best Example-Based Accuracy,500,45,2,0.05,,,0.4503,0.0539,0.4643,0.8667,0.0381,0.0730,0.0895,0.0134,0.0233,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,50,2,0.4,0.75,,0.0342,0.0933,0.1560,0.2643,0.3783,0.3112,0.1997,0.1730,0.1347,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,45,2,0.4,1.0,,0.3478,0.0639,0.4389,0.4094,0.3314,0.3663,0.2120,0.1583,0.1539,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,5,2,0.4,0.0,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,5,2,0.4,0.25,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,5,2,0.4,0.5,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,5,2,0.4,0.75,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Micro-averaged Precision,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Micro-averaged Precision,500,10,2,,,,0.4441,0.0556,0.4451,1.0000,0.0029,0.0058,0.0526,0.0015,0.0029,
RDTLabelPowerset,Best Micro-averaged Precision,500,10,2,,,,0.4441,0.0548,0.4513,0.8750,0.0205,0.0401,0.2982,0.0228,0.0414,
RDTChainLabel,Best Micro-averaged Precision,500,45,2,0.05,,,0.3447,0.0631,0.4504,0.4303,0.4076,0.4187,0.3078,0.2328,0.2368,
RDTChainPercentage,Best Micro-averaged Precision,500,15,2,0.2,,,0.4441,0.0556,0.4449,1.0000,0.0029,0.0058,0.0526,0.0015,0.0029,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,20,2,0.4,0.75,,0.0280,0.0924,0.1509,0.2667,0.3754,0.3118,0.2171,0.1725,0.1401,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,25,2,0.4,1.0,,0.3168,0.0639,0.4067,0.4132,0.3490,0.3784,0.2331,0.1706,0.1696,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,20,2,0.4,1.0,,0.4472,0.0554,0.4480,1.0000,0.0059,0.0117,0.0526,0.0030,0.0057,

RDTLabel,Best Micro-averaged Recall,500,30,2,,,,0.3168,0.0631,0.4330,0.4324,0.4223,0.4273,0.3007,0.2360,0.2333,
RDTPercentage,Best Micro-averaged Recall,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Micro-averaged Recall,500,30,2,,,,0.4658,0.0497,0.5087,0.7342,0.1701,0.2762,0.5750,0.1590,0.2378,
RDTChainLabel,Best Micro-averaged Recall,500,45,2,0.05,,,0.3447,0.0631,0.4504,0.4303,0.4076,0.4187,0.3078,0.2328,0.2368,
