RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,30,2,0.4,1.0,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,30,2,0.4,1.0,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,

RDTLabel,Best Micro-averaged F-Measure,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Micro-averaged F-Measure,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Micro-averaged F-Measure,500,20,2,0.45,,,0.2956,0.2308,0.3165,0.3388,0.3196,0.3289,0.4031,0.3058,0.2606,
RDTChainPercentage,Best Micro-averaged F-Measure,500,30,2,0.4,,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,20,2,0.4,0.0,,0.1998,0.2622,0.2220,0.2444,0.2302,0.2371,0.2153,0.1828,0.0932,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,15,2,0.4,0.25,,0.2287,0.2520,0.2517,0.2750,0.2589,0.2667,0.4285,0.2148,0.1412,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,30,2,0.4,0.5,,0.2865,0.2333,0.3087,0.3311,0.3118,0.3212,0.4442,0.2764,0.2217,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,30,2,0.4,0.75,,0.3097,0.2258,0.3314,0.3534,0.3328,0.3428,0.3936,0.3107,0.2610,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,30,2,0.4,1.0,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,30,2,0.4,1.0,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,

RDTLabel,Best Macro-averaged Precision,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Macro-averaged Precision,500,15,2,,,,0.0388,0.1741,0.0388,0.6364,0.0381,0.0719,0.5904,0.0418,0.0700,
RDTLabelPowerset,Best Macro-averaged Precision,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Macro-averaged Precision,500,25,2,0.5,,,0.2428,0.2495,0.2620,0.2828,0.2667,0.2745,0.4262,0.2524,0.2154,
RDTChainPercentage,Best Macro-averaged Precision,500,15,2,0.05,,,0.0471,0.1738,0.0479,0.6162,0.0474,0.0881,0.4711,0.0522,0.0840,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,10,2,0.4,0.0,,0.1965,0.2630,0.2191,0.2419,0.2278,0.2347,0.4437,0.1809,0.0912,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,25,2,0.4,0.25,,0.2172,0.2564,0.2393,0.2618,0.2465,0.2539,0.5358,0.2013,0.1263,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,25,2,0.4,0.5,,0.2766,0.2358,0.3000,0.3237,0.3048,0.3140,0.4738,0.2682,0.2179,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,25,2,0.4,0.75,,0.3055,0.2269,0.3277,0.3501,0.3297,0.3396,0.4479,0.3067,0.2652,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,20,2,0.4,1.0,,0.2824,0.2360,0.3021,0.3232,0.3048,0.3137,0.4014,0.2987,0.2577,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,20,2,0.4,1.0,,0.2824,0.2356,0.3021,0.3240,0.3048,0.3141,0.4017,0.2987,0.2580,

RDTLabel,Best Macro-averaged Recall,500,25,2,,,,0.2973,0.2311,0.3170,0.3380,0.3188,0.3281,0.3838,0.3306,0.3308,
RDTPercentage,Best Macro-averaged Recall,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Macro-averaged Recall,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Macro-averaged Recall,500,30,2,0.05,,,0.2956,0.2325,0.3141,0.3339,0.3149,0.3241,0.3938,0.3252,0.3289,
RDTChainPercentage,Best Macro-averaged Recall,500,30,2,0.4,,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,20,2,0.4,0.0,,0.1998,0.2622,0.2220,0.2444,0.2302,0.2371,0.2153,0.1828,0.0932,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,15,2,0.4,0.25,,0.2287,0.2520,0.2517,0.2750,0.2589,0.2667,0.4285,0.2148,0.1412,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,30,2,0.4,0.5,,0.2865,0.2333,0.3087,0.3311,0.3118,0.3212,0.4442,0.2764,0.2217,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,30,2,0.4,0.75,,0.3097,0.2258,0.3314,0.3534,0.3328,0.3428,0.3936,0.3107,0.2610,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,30,2,0.4,1.0,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,30,2,0.4,1.0,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,

RDTLabel,Best Macro-averaged F-Measure,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Macro-averaged F-Measure,500,25,2,,,,0.0454,0.1734,0.0458,0.6444,0.0451,0.0843,0.4929,0.0496,0.0813,
RDTLabelPowerset,Best Macro-averaged F-Measure,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Macro-averaged F-Measure,500,30,2,0.05,,,0.2956,0.2325,0.3141,0.3339,0.3149,0.3241,0.3938,0.3252,0.3289,
RDTChainPercentage,Best Macro-averaged F-Measure,500,20,2,0.35,,,0.2816,0.2296,0.3029,0.3370,0.3072,0.3214,0.3767,0.3067,0.2983,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,500,20,2,0.4,0.0,,0.1998,0.2622,0.2220,0.2444,0.2302,0.2371,0.2153,0.1828,0.0932,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,500,15,2,0.4,0.25,,0.2287,0.2520,0.2517,0.2750,0.2589,0.2667,0.4285,0.2148,0.1412,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,500,30,2,0.4,0.5,,0.2865,0.2333,0.3087,0.3311,0.3118,0.3212,0.4442,0.2764,0.2217,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,500,25,2,0.4,0.75,,0.3055,0.2269,0.3277,0.3501,0.3297,0.3396,0.4479,0.3067,0.2652,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,30,2,0.4,1.0,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,30,2,0.4,1.0,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,

