PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0188,0.0527,0.2361,0.7384,0.2690,0.3944,0.1233,0.0456,0.0539,14.56,8.818
0.05,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0212,0.0526,0.2397,0.7385,0.2717,0.3972,0.1217,0.0463,0.0554,11.607,23.374
0.1,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0259,0.0524,0.2443,0.7384,0.2744,0.4002,0.1196,0.0464,0.0556,11.008,67.714
0.2,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0382,0.0532,0.2532,0.7150,0.2762,0.3984,0.1169,0.0468,0.0562,11.45,504.787
0.3,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,0.0429,0.0545,0.2599,0.6768,0.2776,0.3937,0.0964,0.0486,0.0578,10.745,5435.602
