PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,PARAM:numAttrs,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1381,0.0627,0.3306,0.5129,0.3400,0.4089,0.1889,0.0788,0.0857,58.305,15.337
0.05,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1475,0.0623,0.3318,0.5185,0.3270,0.4010,0.1883,0.0730,0.0777,57.986,29.264
0.1,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1498,0.0622,0.3324,0.5192,0.3270,0.4012,0.1780,0.0710,0.0737,61.92,68.755
0.2,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1481,0.0622,0.3338,0.5192,0.3313,0.4045,0.1750,0.0680,0.0682,46.542,146.77
0.3,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1322,0.0630,0.3126,0.5093,0.3183,0.3917,0.1060,0.0615,0.0593,41.424,441.5
0.4,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1204,0.0636,0.3023,0.5016,0.3177,0.3891,0.1067,0.0616,0.0587,39.475,910.214
0.5,300,40,3,1,1.0,10000,LP_CHAIN,HYBRID,10,0.1052,0.0644,0.2885,0.4921,0.3129,0.3825,0.1102,0.0602,0.0578,35.063,1692.623
