PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,PARAM:numAttrs,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.6299,0.0135,0.7171,0.7925,0.6962,0.7413,0.3273,0.2564,0.2737,16.911,2.36
0.05,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.6411,0.0134,0.7214,0.7942,0.6970,0.7425,0.3262,0.2531,0.2702,15.721,4.012
0.1,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.6370,0.0136,0.7142,0.7872,0.6954,0.7384,0.3535,0.2414,0.2604,15.673,5.93
0.2,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.6227,0.0146,0.6976,0.7628,0.6839,0.7212,0.3276,0.2209,0.2393,14.581,13.69
0.3,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.5920,0.0162,0.6644,0.7308,0.6552,0.6909,0.2757,0.1873,0.1958,14.421,30.47
0.4,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.5409,0.0187,0.6109,0.6824,0.6051,0.6414,0.2392,0.1625,0.1672,14.431,61.093
0.5,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.4857,0.0215,0.5525,0.6252,0.5534,0.5871,0.1916,0.1340,0.1356,14.871,97.59
