PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,PARAM:numAttrs,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4192,0.0163,0.4715,0.8929,0.4655,0.6120,0.2604,0.1193,0.1540,16.63,2.53
0.05,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4387,0.0160,0.4927,0.8874,0.4852,0.6274,0.2795,0.1238,0.1576,15.65,3.85
0.1,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4356,0.0162,0.4894,0.8801,0.4819,0.6228,0.2575,0.1216,0.1543,15.493,5.91
0.2,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4427,0.0161,0.5009,0.8717,0.4910,0.6282,0.3168,0.1300,0.1677,14.551,13.75
0.3,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4376,0.0162,0.4942,0.8732,0.4860,0.6245,0.2938,0.1245,0.1595,14.241,30.53
0.4,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.4008,0.0173,0.4593,0.8532,0.4532,0.5920,0.2707,0.1160,0.1475,14.451,60.163
0.5,300,40,3,1,1.0,10000,PERCENTAGE_CHAIN,HYBRID,10,0.3630,0.0181,0.4141,0.8613,0.4130,0.5583,0.2059,0.0995,0.1266,15.191,97.05
