PARAM:percentageLabels,PARAM:numTrees,PARAM:maxDeep,PARAM:maxS,PARAM:randomSeed,PARAM:percentageActiveLabels,PARAM:numChainPredict,PARAM:predictType,PARAM:chainType,PARAM:numAttrs,MEASURE:Subset Accuracy,MEASURE:Hamming Loss,MEASURE:Example-Based Accuracy,MEASURE:Micro-averaged Precision,MEASURE:Micro-averaged Recall,MEASURE:Micro-averaged F-Measure,MEASURE:Macro-averaged Precision,MEASURE:Macro-averaged Recall,MEASURE:Macro-averaged F-Measure,MEASURE:Build_time,MEASURE:Test_time
0.0,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0123,0.0581,0.3818,0.5463,0.5214,0.5335,0.1600,0.1020,0.0997,58.018,5.68
0.05,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0170,0.0579,0.3832,0.5495,0.5110,0.5295,0.1619,0.0969,0.0942,51.582,9.869
0.1,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0212,0.0578,0.3816,0.5512,0.5005,0.5247,0.1414,0.0927,0.0885,46.135,16.892
0.2,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0347,0.0583,0.3768,0.5484,0.4797,0.5117,0.1322,0.0856,0.0795,42.514,56.403
0.3,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0635,0.0592,0.3732,0.5422,0.4569,0.4959,0.1304,0.0803,0.0727,39.304,164.91
0.4,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0670,0.0616,0.3508,0.5212,0.4217,0.4662,0.1005,0.0741,0.0656,33.657,364.09
0.5,300,40,3,1,1.0,10000,LABEL_CHAIN,HYBRID,10,0.0734,0.0622,0.3412,0.5150,0.4040,0.4528,0.0744,0.0710,0.0629,32.626,704.396
